id,category
0,cidades
1,salvador
2,noticias
3,economia
4,bahia
5,esporte
6,politica
7,futebol
8,brasil
9,mundo
10,famosos
11,justica
12,feira-de-santana
13,emprego
14,entretenimento
15,eleicoes-2024
16,saude
17,policia
18,camacari
19,lauro-de-freitas
